"","county","Category","Sales_Dollars","Sales_Volume","High School","Bachelor","Unemployment","Income","Population","White Population","Black Population","Indian Population","Asain Population","Hawaiian Population","Other Population","Multi Population"
"1","Adair","Whisky",113112,7956,93.4,16.6,2.8,31506,7330,7188,21,1,35,0,8,77
"2","Adair","Tequila",11397,760,93.4,16.6,2.8,31506,7330,7188,21,1,35,0,8,77
"3","Adair","Distilled Spirits",1618,110,93.4,16.6,2.8,31506,7330,7188,21,1,35,0,8,77
"4","Adair","Misc",14372,918,93.4,16.6,2.8,31506,7330,7188,21,1,35,0,8,77
"5","Adair","Vodka",40851,4101,93.4,16.6,2.8,31506,7330,7188,21,1,35,0,8,77
"6","Adair","Rum",31541,2376,93.4,16.6,2.8,31506,7330,7188,21,1,35,0,8,77
"7","Adair","Brandy",7981,695,93.4,16.6,2.8,31506,7330,7188,21,1,35,0,8,77
"8","Adair","Amaretto",583,77,93.4,16.6,2.8,31506,7330,7188,21,1,35,0,8,77
"9","Adair","Schnapps",9266,908,93.4,16.6,2.8,31506,7330,7188,21,1,35,0,8,77
"10","Adair","Gin",2051,160,93.4,16.6,2.8,31506,7330,7188,21,1,35,0,8,77
"11","Adams","Brandy",2900,249,92.5,16.7,3.1,29880,3822,3720,19,4,33,0,3,43
"12","Adams","Misc",13064,780,92.5,16.7,3.1,29880,3822,3720,19,4,33,0,3,43
"13","Adams","Whisky",103643,7006,92.5,16.7,3.1,29880,3822,3720,19,4,33,0,3,43
"14","Adams","Rum",14309,985,92.5,16.7,3.1,29880,3822,3720,19,4,33,0,3,43
"15","Adams","Schnapps",7172,518,92.5,16.7,3.1,29880,3822,3720,19,4,33,0,3,43
"16","Adams","Tequila",9413,712,92.5,16.7,3.1,29880,3822,3720,19,4,33,0,3,43
"17","Adams","Vodka",25321,2686,92.5,16.7,3.1,29880,3822,3720,19,4,33,0,3,43
"18","Adams","Distilled Spirits",1044,68,92.5,16.7,3.1,29880,3822,3720,19,4,33,0,3,43
"19","Adams","Gin",2333,212,92.5,16.7,3.1,29880,3822,3720,19,4,33,0,3,43
"20","Adams","Amaretto",450,60,92.5,16.7,3.1,29880,3822,3720,19,4,33,0,3,43
"21","Allamakee","Vodka",158147,15919,88.1,17,4.7,28718,14001,13497,118,32,61,2,64,227
"22","Allamakee","Amaretto",2381,239,88.1,17,4.7,28718,14001,13497,118,32,61,2,64,227
"23","Allamakee","Misc",69287,4301,88.1,17,4.7,28718,14001,13497,118,32,61,2,64,227
"24","Allamakee","Brandy",40302,3649,88.1,17,4.7,28718,14001,13497,118,32,61,2,64,227
"25","Allamakee","Schnapps",79787,6237,88.1,17,4.7,28718,14001,13497,118,32,61,2,64,227
"26","Allamakee","Tequila",22729,1451,88.1,17,4.7,28718,14001,13497,118,32,61,2,64,227
"27","Allamakee","Distilled Spirits",3430,232,88.1,17,4.7,28718,14001,13497,118,32,61,2,64,227
"28","Allamakee","Whisky",287559,21650,88.1,17,4.7,28718,14001,13497,118,32,61,2,64,227
"29","Allamakee","Rum",123946,8436,88.1,17,4.7,28718,14001,13497,118,32,61,2,64,227
"30","Allamakee","Gin",11174,901,88.1,17,4.7,28718,14001,13497,118,32,61,2,64,227
"31","Appanoose","Brandy",11199,880,89.9,18.1,6.6,27485,12602,12289,61,6,62,0,2,182
"32","Appanoose","Tequila",36133,2679,89.9,18.1,6.6,27485,12602,12289,61,6,62,0,2,182
"33","Appanoose","Distilled Spirits",3942,186,89.9,18.1,6.6,27485,12602,12289,61,6,62,0,2,182
"34","Appanoose","Misc",70681,3909,89.9,18.1,6.6,27485,12602,12289,61,6,62,0,2,182
"35","Appanoose","Schnapps",45465,3757,89.9,18.1,6.6,27485,12602,12289,61,6,62,0,2,182
"36","Appanoose","Vodka",160579,15761,89.9,18.1,6.6,27485,12602,12289,61,6,62,0,2,182
"37","Appanoose","Rum",105160,7627,89.9,18.1,6.6,27485,12602,12289,61,6,62,0,2,182
"38","Appanoose","Whisky",314443,19653,89.9,18.1,6.6,27485,12602,12289,61,6,62,0,2,182
"39","Appanoose","Amaretto",5257,506,89.9,18.1,6.6,27485,12602,12289,61,6,62,0,2,182
"40","Appanoose","Gin",13018,1124,89.9,18.1,6.6,27485,12602,12289,61,6,62,0,2,182
"41","Audubon","Vodka",31303,3926,89.6,13.1,2.8,27310,5793,5636,22,38,11,0,0,86
"42","Audubon","Misc",10066,624,89.6,13.1,2.8,27310,5793,5636,22,38,11,0,0,86
"43","Audubon","Brandy",3716,346,89.6,13.1,2.8,27310,5793,5636,22,38,11,0,0,86
"44","Audubon","Gin",2028,162,89.6,13.1,2.8,27310,5793,5636,22,38,11,0,0,86
"45","Audubon","Amaretto",1481,197,89.6,13.1,2.8,27310,5793,5636,22,38,11,0,0,86
"46","Audubon","Rum",30595,2232,89.6,13.1,2.8,27310,5793,5636,22,38,11,0,0,86
"47","Audubon","Distilled Spirits",356,18,89.6,13.1,2.8,27310,5793,5636,22,38,11,0,0,86
"48","Audubon","Tequila",3430,237,89.6,13.1,2.8,27310,5793,5636,22,38,11,0,0,86
"49","Audubon","Whisky",71730,5796,89.6,13.1,2.8,27310,5793,5636,22,38,11,0,0,86
"50","Audubon","Schnapps",6047,564,89.6,13.1,2.8,27310,5793,5636,22,38,11,0,0,86
"51","Benton","Vodka",138430,14600,92.8,21.8,3.8,34563,25720,25147,140,10,79,0,47,297
"52","Benton","Whisky",288848,21693,92.8,21.8,3.8,34563,25720,25147,140,10,79,0,47,297
"53","Benton","Rum",103779,7354,92.8,21.8,3.8,34563,25720,25147,140,10,79,0,47,297
"54","Benton","Tequila",28704,2080,92.8,21.8,3.8,34563,25720,25147,140,10,79,0,47,297
