"","zipcode","city","county","city_avg_sales","zipcode_avg_sales"
"9",50010,"Ames","Story",732505.1,682322.8
"13",50014,"Ames","Story",732505.1,50182.2
"14",50020,"Anita","Cass",6902.6,6902.6
"15",50021,"Ankeny","Polk",459433.4,316855.7
"17",50023,"Ankeny","Polk",459433.4,142577.6
"61",50071,"Dows","Wright",1993.6,1993.6
"77",50109,"Granger","Dallas",2570.1,2570.1
"90",50125,"Indianola","Warren",147598.1,147598.1
"140",50207,"New Sharon","Mahaska",1436.8,1436.8
"155",50226,"Polk City","Polk",19039.9,19039.9
"187",50261,"Van Meter","Dallas",1814.8,1814.8
"191",50265,"West Des Moines","Polk",983892.9,390882.3
"192",50266,"West Des Moines","Polk",983892.9,593010.3
"197",50273,"Winterset","Madison",57640.1,57640.1
"200",50276,"Woodward","Dallas",2849.4,2849.4
"211",50309,"Des Moines","Polk",3807136.7,26308
"212",50310,"Des Moines","Polk",3807136.7,195625.6
"213",50311,"Des Moines","Polk",3807136.7,584913.6
"214",50312,"Des Moines","Polk",3807136.7,132660.5
"215",50313,"Des Moines","Polk",3807136.7,54403.2
"216",50314,"Des Moines","Polk",3807136.7,958471.6
"217",50315,"Des Moines","Polk",3807136.7,252279.5
"218",50316,"Des Moines","Polk",3807136.7,128533.4
"219",50317,"Des Moines","Polk",3807136.7,343259.6
"222",50320,"Des Moines","Polk",3807136.7,953911.9
"223",50321,"Des Moines","Polk",3807136.7,159123.2
"224",50322,"Urbandale","Polk",295265.7,286934.4
"225",50323,"Urbandale","Polk",295265.7,8331.4
"258",50401,"Mason City","Cerro Gordo",375277.9,375277.9
"272",50435,"Floyd","Floyd",13636.8,13636.8
"338",50535,"Early","Sac",1945.1,1945.1
"365",50569,"Otho","Webster",1777.33333333333,1777.33333333333
"387",50597,"West Bend","Palo Alto",12479.8,12479.8
"407",50622,"Denver","Bremer",8940.9,8940.9
"412",50627,"Eldora","Hardin",24624.3,24624.3
"423",50641,"Hazleton","Buchanan",2816.77777777778,2816.77777777778
"438",50658,"Nashua","Chickasaw",3738.2,3738.2
"457",50680,"Wellsburg","Grundy",2006.44444444444,2006.44444444444
"460",50701,"Waterloo","Black Hawk",963119.6,227732.5
"461",50702,"Waterloo","Black Hawk",963119.6,401459.3
"462",50703,"Waterloo","Black Hawk",963119.6,333927.8
"520",51023,"Hawarden","Sioux",12493.1,12493.1
"544",51050,"Remsen","Plymouth",12006.3,12006.3
"551",51058,"Sutherland","Obrien",4086.2,4086.2
"556",51101,"Sioux City","Woodbury",878457.1,50512.1
"558",51103,"Sioux City","Woodbury",878457.1,193566
"559",51104,"Sioux City","Woodbury",878457.1,119104.1
"560",51105,"Sioux City","Woodbury",878457.1,97436
"561",51106,"Sioux City","Woodbury",878457.1,336145.9
"562",51108,"Sioux City","Woodbury",878457.1,70656.9
"563",51109,"Sioux City","Woodbury",878457.1,12261.8888888889
"581",51247,"Rock Valley","Sioux",12870.8,12870.8
"585",51301,"Spencer","Clay",144895.7,144895.7
"595",51346,"Hartley","Obrien",14264.2,14264.2
"602",51358,"Ruthven","Palo Alto",3761.77777777778,3761.77777777778
"620",51445,"Ida Grove","Ida",23547.4,23547.4
"635",51462,"Scranton","Greene",2079.4,2079.4
"640",51501,"Council Bluffs","Pottawattamie",871818.4,517502.1
"642",51503,"Council Bluffs","Pottawattamie",871818.4,354316.3
"670",51551,"Malvern","Mills",3004.8,3004.8
"679",51560,"Oakland","Pottawattamie",10666.1,10666.1
"715",51653,"Tabor","Fremont",509.777777777778,509.777777777778
"718",52001,"Dubuque","Dubuque",735179.1,415549
"719",52002,"Dubuque","Dubuque",735179.1,164090.8
"720",52003,"Dubuque","Dubuque",735179.1,152083.4
"807",52211,"Brooklyn","Poweshiek",11206.6,11206.6
"831",52240,"Iowa City","Johnson",953208.7,808257.2
"836",52245,"Iowa City","Johnson",953208.7,45932.2
"837",52246,"Iowa City","Johnson",953208.7,99019
"850",52306,"Mechanicsville","Cedar",2810.8,2810.8
"889",52349,"Vinton","Benton",30375.2,30375.2
"900",52401,"Cedar Rapids","Linn",1827150.1,222192.7
"901",52402,"Cedar Rapids","Linn",1827150.1,846088.8
"902",52403,"Cedar Rapids","Linn",1827150.1,113361
"903",52404,"Cedar Rapids","Linn",1827150.1,360314.1
"904",52405,"Cedar Rapids","Linn",1827150.1,185809.8
"910",52411,"Cedar Rapids","Linn",1827150.1,99383.7
"975",52632,"Keokuk","Lee",198192.2,198192.2
"979",52639,"Montrose","Lee",910.666666666667,910.666666666667
"992",52653,"Wapello","Louisa",9592.2,9592.2
"1004",52726,"Blue Grass","Scott",7513.3,7513.3
"1010",52732,"Clinton","Clinton",284789.1,260183.2
"1047",52801,"Davenport","Scott",1325172.6,627.333333333333
"1048",52802,"Davenport","Scott",1325172.6,95393.1
"1049",52803,"Davenport","Scott",1325172.6,81677.7
"1050",52804,"Davenport","Scott",1325172.6,414602.1
"1052",52806,"Davenport","Scott",1325172.6,163233.5
"1053",52807,"Davenport","Scott",1325172.6,569701.8
