"","zipcode","city","county","city_avg_sales","zipcode_avg_sales"
"2",50002,"Adair","Adair",4789.77777777778,4789.77777777778
"3",50003,"Adel","Dallas",30611.1,30611.1
"5",50006,"Alden","Hardin",9395.6,9395.6
"8",50009,"Altoona","Polk",221275.5,221275.5
"9",50010,"Ames","Story",732505.1,682322.8
"13",50014,"Ames","Story",732505.1,50182.2
"14",50020,"Anita","Cass",6902.6,6902.6
"15",50021,"Ankeny","Polk",459433.4,316855.7
"16",50022,"Atlantic","Cass",101277.7,101277.7
"17",50023,"Ankeny","Polk",459433.4,142577.6
"18",50025,"Audubon","Audubon",12896,12896
"21",50028,"Baxter","Jasper",3141.8,3141.8
"25",50033,"Bevington","Madison",4532.875,4532.875
"27",50035,"Bondurant","Polk",8274.3,8274.3
"28",50036,"Boone","Boone",121640.8,121640.8
"36",50044,"Bussey","Marion",1844.5,1844.5
"37",50046,"Cambridge","Story",2523.3,2523.3
"38",50047,"Carlisle","Warren",8452.6,8452.6
"39",50048,"Casey","Guthrie",3180.75,3180.75
"40",50049,"Chariton","Lucas",36991.9,36991.9
"44",50054,"Colfax","Jasper",11535.8,11535.8
"46",50056,"Colo","Story",3906.6,3906.6
"48",50058,"Coon Rapids","Carroll",6255.8,6255.8
"50",50060,"Corydon","Wayne",9400.7,9400.7
"51",50061,"Cumming","Warren",2922,2922
"59",50069,"De Soto","Dallas",8115.11111111111,8115.11111111111
"61",50071,"Dows","Wright",1993.6,1993.6
"62",50072,"Earlham","Madison",1936.7,1936.7
"65",50075,"Ellsworth","Hamilton",6336,6336
"66",50076,"Exira","Audubon",3532.44444444444,3532.44444444444
"75",50107,"Grand Junction","Greene",2009.6,2009.6
"77",50109,"Granger","Dallas",2570.1,2570.1
"79",50111,"Grimes","Polk",107896.3,107896.3
"80",50112,"Grinnell","Poweshiek",96534.5,96534.5
"81",50115,"Guthrie Center","Guthrie",8107.4,8107.4
"87",50122,"Hubbard","Hardin",4127.2,4127.2
"88",50123,"Humeston","Wayne",850.222222222222,850.222222222222
"89",50124,"Huxley","Story",7575.8,7575.8
"90",50125,"Indianola","Warren",147598.1,147598.1
"91",50126,"Iowa Falls","Hardin",82614,82614
"94",50129,"Jefferson","Greene",35946.6,35946.6
"96",50131,"Johnston","Polk",123625.6,123625.6
"100",50135,"Kellogg","Jasper",3452.3,3452.3
"103",50138,"Knoxville","Marion",79663,79663
"105",50140,"Lamoni","Decatur",7119.1,7119.1
"107",50142,"Le Grand","Marshall",6130.4,6130.4
"109",50144,"Leon","Decatur",9418.8,9418.8
"115",50150,"Lovilia","Monroe",823.888888888889,823.888888888889
